AllTimePriceId	code	startval	highval	lowval	curval	curvol	Regdate
20378	187870	37550	38750	37150	38150	182720	2020-12-04 11:20:57.177
20649	187870	37550	38750	37150	38150	183572	2020-12-04 11:21:25.847
20922	187870	37550	38750	37150	38150	183572	2020-12-04 11:21:52.787
21186	187870	37550	38750	37150	38200	184824	2020-12-04 11:22:18.770
21449	187870	37550	38750	37150	38200	184824	2020-12-04 11:22:46.170
21716	187870	37550	38750	37150	38150	186178	2020-12-04 11:23:13.620
21984	187870	37550	38750	37150	38150	186178	2020-12-04 11:23:41.220
22256	187870	37550	38750	37150	38150	186178	2020-12-04 11:24:08.523
22523	187870	37550	38750	37150	38150	186608	2020-12-04 11:24:35.357
22781	187870	37550	38750	37150	38150	186608	2020-12-04 11:25:02.177
23052	187870	37550	38750	37150	38150	187701	2020-12-04 11:25:30.647
23321	187870	37550	38750	37150	38150	187701	2020-12-04 11:25:56.333
23581	187870	37550	38750	37150	38150	187754	2020-12-04 11:26:21.680
23855	187870	37550	38750	37150	38150	187754	2020-12-04 11:26:47.727
24117	187870	37550	38750	37150	38150	188036	2020-12-04 11:27:13.473
24383	187870	37550	38750	37150	38150	188036	2020-12-04 11:27:38.170
24657	187870	37550	38750	37150	38150	188036	2020-12-04 11:28:04.927
24924	187870	37550	38750	37150	38400	190140	2020-12-04 11:28:30.473
25190	187870	37550	38750	37150	38400	190140	2020-12-04 11:28:55.693
25456	187870	37550	38750	37150	38300	191101	2020-12-04 11:29:20.630
25726	187870	37550	38750	37150	38300	191101	2020-12-04 11:29:46.280
25993	187870	37550	38750	37150	38350	191281	2020-12-04 11:30:11.767
26244	187870	37550	38750	37150	38350	191281	2020-12-04 11:30:36.940
26529	187870	37550	38750	37150	38350	191281	2020-12-04 11:31:03.330
26791	187870	37550	38750	37150	38450	191752	2020-12-04 11:31:28.397
27061	187870	37550	38750	37150	38450	191752	2020-12-04 11:31:53.800
27329	187870	37550	38750	37150	38450	196509	2020-12-04 11:32:19.217
27595	187870	37550	38750	37150	38450	196509	2020-12-04 11:32:46.443
27849	187870	37550	38750	37150	38400	197676	2020-12-04 11:33:11.957
28131	187870	37550	38750	37150	38400	197676	2020-12-04 11:33:38.747
28392	187870	37550	38750	37150	38350	199954	2020-12-04 11:34:05.313
28663	187870	37550	38750	37150	38350	199954	2020-12-04 11:34:32.093
28921	187870	37550	38750	37150	38350	199954	2020-12-04 11:34:57.530
29191	187870	37550	38750	37150	38350	200458	2020-12-04 11:35:24.750
29468	187870	37550	38750	37150	38350	200458	2020-12-04 11:35:51.890
29731	187870	37550	38750	37150	38250	202737	2020-12-04 11:36:18.460
29992	187870	37550	38750	37150	38250	202737	2020-12-04 11:36:44.473
30269	187870	37550	38750	37150	38250	202942	2020-12-04 11:37:13.400
30523	187870	37550	38750	37150	38250	202942	2020-12-04 11:37:39.127
30797	187870	37550	38750	37150	38200	205681	2020-12-04 11:38:05.990
31064	187870	37550	38750	37150	38200	205681	2020-12-04 11:38:33.347
31326	187870	37550	38750	37150	38200	205681	2020-12-04 11:38:59.863
31594	187870	37550	38750	37150	38200	206914	2020-12-04 11:39:30.573
31866	187870	37550	38750	37150	38200	206914	2020-12-04 11:39:56.673
32125	187870	37550	38750	37150	38100	208395	2020-12-04 11:40:22.273
32390	187870	37550	38750	37150	38100	208395	2020-12-04 11:40:49.423
32668	187870	37550	38750	37150	38100	208729	2020-12-04 11:41:16.107
32933	187870	37550	38750	37150	38100	208729	2020-12-04 11:41:42.827
33201	187870	37550	38750	37150	38100	208729	2020-12-04 11:42:08.710
33474	187870	37550	38750	37150	38200	208864	2020-12-04 11:42:36.757
33735	187870	37550	38750	37150	38200	208864	2020-12-04 11:43:03.383
34005	187870	37550	38750	37150	38100	209074	2020-12-04 11:43:32.777
34270	187870	37550	38750	37150	38100	209074	2020-12-04 11:43:58.120
34534	187870	37550	38750	37150	38150	209321	2020-12-04 11:44:24.347
34802	187870	37550	38750	37150	38150	209321	2020-12-04 11:44:51.837
35070	187870	37550	38750	37150	38200	209471	2020-12-04 11:45:16.937
35337	187870	37550	38750	37150	38200	209471	2020-12-04 11:45:42.653
35601	187870	37550	38750	37150	38200	209788	2020-12-04 11:46:11.343
35873	187870	37550	38750	37150	38200	209788	2020-12-04 11:46:38.147
36141	187870	37550	38750	37150	38200	209788	2020-12-04 11:47:02.983
36402	187870	37550	38750	37150	38250	209815	2020-12-04 11:47:31.103
36673	187870	37550	38750	37150	38250	209815	2020-12-04 11:47:56.273
36937	187870	37550	38750	37150	38150	209952	2020-12-04 11:48:22.063
37200	187870	37550	38750	37150	38150	209952	2020-12-04 11:48:48.793
37471	187870	37550	38750	37150	38200	210025	2020-12-04 11:49:15.543
37734	187870	37550	38750	37150	38200	210025	2020-12-04 11:49:41.397
38001	187870	37550	38750	37150	38200	210060	2020-12-04 11:50:10.577
38276	187870	37550	38750	37150	38200	210060	2020-12-04 11:50:36.787
38544	187870	37550	38750	37150	38200	210060	2020-12-04 11:51:03.173
38809	187870	37550	38750	37150	38150	210192	2020-12-04 11:51:33.610
39079	187870	37550	38750	37150	38150	210192	2020-12-04 11:51:59.027
39336	187870	37550	38750	37150	38250	210309	2020-12-04 11:52:24.777
39601	187870	37550	38750	37150	38250	210309	2020-12-04 11:52:52.117
39867	187870	37550	38750	37150	38250	210879	2020-12-04 11:53:17.623
40126	187870	37550	38750	37150	38250	210879	2020-12-04 11:53:43.140
40405	187870	37550	38750	37150	38150	211185	2020-12-04 11:54:11.790
40674	187870	37550	38750	37150	38150	211185	2020-12-04 11:54:37.730
40935	187870	37550	38750	37150	38150	211185	2020-12-04 11:55:02.367
41209	187870	37550	38750	37150	38200	211627	2020-12-04 11:55:27.667
41480	187870	37550	38750	37150	38200	211627	2020-12-04 11:55:53.083
41746	187870	37550	38750	37150	38300	212392	2020-12-04 11:56:18.083
42008	187870	37550	38750	37150	38300	212392	2020-12-04 11:56:43.370
42275	187870	37550	38750	37150	38200	212571	2020-12-04 11:57:08.283
42552	187870	37550	38750	37150	38200	212571	2020-12-04 11:57:35.230
42816	187870	37550	38750	37150	38200	212571	2020-12-04 11:58:00.290
43085	187870	37550	38750	37150	38250	212691	2020-12-04 11:58:25.450
43343	187870	37550	38750	37150	38250	212691	2020-12-04 11:58:49.820
43615	187870	37550	38750	37150	38250	213182	2020-12-04 11:59:14.450
43886	187870	37550	38750	37150	38250	213182	2020-12-04 11:59:40.103
44152	187870	37550	38750	37150	38200	213451	2020-12-04 12:00:04.400
44401	187870	37550	38750	37150	38200	213451	2020-12-04 12:00:30.000
44681	187870	37550	38750	37150	38200	213451	2020-12-04 12:00:56.863
44965	187870	37550	38750	37150	38050	214976	2020-12-04 12:01:24.483
45212	187870	37550	38750	37150	38050	214976	2020-12-04 12:01:50.493
45480	187870	37550	38750	37150	38250	215086	2020-12-04 12:02:15.050
45748	187870	37550	38750	37150	38250	215086	2020-12-04 12:02:39.683
46017	187870	37550	38750	37150	38250	215086	2020-12-04 12:03:03.817
46281	187870	37550	38750	37150	38250	215101	2020-12-04 12:03:28.060
46548	187870	37550	38750	37150	38250	215101	2020-12-04 12:03:52.570
46819	187870	37550	38750	37150	38050	216969	2020-12-04 12:04:19.827
47082	187870	37550	38750	37150	38050	216969	2020-12-04 12:04:44.143
47343	187870	37550	38750	37150	38100	216980	2020-12-04 12:05:08.497
47603	187870	37550	38750	37150	38100	216980	2020-12-04 12:05:33.250
47883	187870	37550	38750	37150	38100	216980	2020-12-04 12:05:57.773
48152	187870	37550	38750	37150	38000	217836	2020-12-04 12:06:22.193
48418	187870	37550	38750	37150	38000	217836	2020-12-04 12:06:46.243
48664	187870	37550	38750	37150	38000	217836	2020-12-04 12:07:10.437
48953	187870	37550	38750	37150	38000	218444	2020-12-04 12:07:35.517
49217	187870	37550	38750	37150	38000	218444	2020-12-04 12:07:59.630
49485	187870	37550	38750	37150	38050	219133	2020-12-04 12:08:24.333
49752	187870	37550	38750	37150	38050	219133	2020-12-04 12:08:48.907
50027	187870	37550	38750	37150	38000	219528	2020-12-04 12:09:14.043
50285	187870	37550	38750	37150	38000	219528	2020-12-04 12:09:39.690
50552	187870	37550	38750	37150	38000	219528	2020-12-04 12:10:03.947
50821	187870	37550	38750	37150	37950	220082	2020-12-04 12:10:31.997
51079	187870	37550	38750	37150	37950	220082	2020-12-04 12:10:56.380
51351	187870	37550	38750	37150	37950	220824	2020-12-04 12:11:20.933
51617	187870	37550	38750	37150	37950	220824	2020-12-04 12:11:46.063
51888	187870	37550	38750	37150	38000	220940	2020-12-04 12:12:11.710
52159	187870	37550	38750	37150	38000	220940	2020-12-04 12:12:37.953
52425	187870	37550	38750	37150	38000	220940	2020-12-04 12:13:03.310
