표준코드	단축코드	한글종목명	한글종목약명	영문종목명	상장일	기초지수명	지수산출기관	추적배수	복제방법	기초시장분류	기초자산분류	상장좌수	운용사	CU수량	총보수	과세유형
KR7204480008	204480	미래에셋TIGER차이나A레버리지증권상장지수투자신탁(주식혼합-파생재간접형)(합성)	TIGER 차이나CSI300레버리지(합성)	MIRAE ASSET TIGER SYNTH-CHINA A LEVERAGE	2014-09-01	CSI 300 Index	CSI	2X 레버리지 (2)	합성	해외	주식	4500000	미래에셋자산운용	100000	0.58	배당소득세(보유기간과세)
KR7217780006	217780	미래에셋TIGER차이나A인버스증권상장지수투자신탁(채권혼합-파생형)(합성)	TIGER 차이나CSI300인버스(합성)	MIRAE ASSET TIGER SYNTH-CHINA A INVERSE ETF	2015-06-10	CSI 300 Index	CSI	1X 인버스 (-1)	합성	해외	주식	3800000	미래에셋자산운용	100000	0.58	배당소득세(보유기간과세)
KR7210780003	210780	미래에셋TIGER코스피고배당증권상장지수투자신탁(주식)	TIGER 코스피고배당	MIRAE ASSET TIGER KOSPI HIGH DIVIDEND ETF	2014-12-05	코스피 고배당 50	KRX	일반 (1)	실물	국내	주식	1440000	미래에셋자산운용	30000	0.29	비과세
KR7285690004	285690	브이아이 FOCUS ESG Leaders150증권상장지수투자신탁[주식]	FOCUS ESG리더스	VI FOCUS ESG Leaders150 ETF	2017-12-13	KRX ESG Leaders 150	KRX	일반 (1)	실물	국내	주식	2100000	브이아이자산운용	50000	0.1	비과세
KR7292730009	292730	브이아이 FOCUS KRX300증권상장지수투자신탁[주식]	FOCUS KRX300	VI FOCUS KRX300 ETF	2018-03-26	KRX 300	KRX	일반 (1)	실물	국내	주식	1100000	브이아이자산운용	100000	0.1	비과세
KR7278530001	278530	삼성 KODEX 200 Total Return증권상장지수투자신탁[주식]	KODEX 200TR	Samsung KODEX 200 Total Return ETF	2017-11-21	코스피 200 TR	KRX	일반 (1)	실물	국내	주식	104700000	삼성자산운용	150000	0.07	배당소득세(보유기간과세)
KR7226980001	226980	삼성 KODEX 200 중소형 증권상장지수투자신탁(주식)	KODEX 200 중소형	Samsung KODEX 200 Mid-Small ETF	2015-09-01	코스피 200 중소형주지수	KRX	일반 (1)	실물	국내	주식	600000	삼성자산운용	100000	0.3	비과세
KR7337160006	337160	삼성 KODEX 200ESG증권상장지수투자신탁[주식]	KODEX 200ESG	SAMSUNG KODEX 200ESG ETF	2019-11-14	코스피 200 ESG 지수	KRX	일반 (1)	실물	국내	주식	2200000	삼성자산운용	100000	0.3	비과세
KR7363580002	363580	삼성 KODEX 200IT Total Return증권상장지수투자신탁[주식]	KODEX 200IT TR	SAMSUNG KODEX 200IT Total Return ETF	2020-09-25	코스피200 정보기술 TR	KRX	일반 (1)	실물	국내	주식	4200000	삼성자산운용	100000	0.15	배당소득세(보유기간과세)
KR7337150007	337150	삼성 KODEX 200exTOP증권상장지수투자신탁[주식]	KODEX 200exTOP	SAMSUNG KODEX 200exTOP ETF	2019-11-14	코스피 200 초대형제외 지수	KRX	일반 (1)	실물	국내	주식	1400000	삼성자산운용	100000	0.3	비과세
