표준코드	단축코드	한글종목명	한글종목약명	영문종목명	상장일	기초지수명	지수산출기관	추적배수	복제방법	기초시장분류	기초자산분류	상장좌수	운용사	CU수량	총보수	과세유형
KR7314250002	314250	삼성 KODEX 미국FANG플러스증권상장지수투자신탁[주식-파생형](H)	KODEX 미국FANG플러스(H)	Samsung KODEX FANG PLUS ETF(H)	2019-01-10	NYSE FANG+TM Index	ICE Data Indices, LLC	일반 (1)	실물	해외	주식	21300000	삼성자산운용	50000	0.45	배당소득세(보유기간과세)
KR7379800006	379800	삼성 KODEX 미국S&P500 Total Return증권상장지수투자신탁[주식]	KODEX 미국S&P500TR	SAMSUNG KODEX S&P500 Total Return ETF	2021-04-09	S&P 500 Total Return Index	S&P	일반 (1)	실물	해외	주식	4100000	삼성자산운용	100000	0.05	배당소득세(보유기간과세)
KR7276970001	276970	삼성 KODEX 미국S&P고배당커버드콜증권상장지수투자신탁[주식-파생형](합성 H)	KODEX 미국S&P고배당커버드콜(합성 H)	SAMSUNG KODEX US S&P Dividend Covered Call ETF-SYNTH(H)	2017-08-10	S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index	S&P	일반 (1)	합성	해외	주식	2800000	삼성자산운용	100000	0.3	배당소득세(보유기간과세)
KR7379810005	379810	삼성 KODEX 미국나스닥100 Total Return증권상장지수투자신탁[주식]	KODEX 미국나스닥100TR	SAMSUNG KODEX US NASDAQ100 Total Return ETF	2021-04-09	NASDAQ-100 Total Return Index	NASDAQ	일반 (1)	실물	해외	주식	4000000	삼성자산운용	100000	0.05	배당소득세(보유기간과세)
KR7304940000	304940	삼성 KODEX 미국나스닥100선물증권상장지수투자신탁[주식-파생형](H)	KODEX 미국나스닥100선물(H)	Samsung KODEX US Nasdaq100 Futures ETF(H)	2018-08-30	NASDAQ 100	NASDAQ	일반 (1)	실물	해외	주식	2300000	삼성자산운용	50000	0.45	배당소득세(보유기간과세)
KR7261250005	261250	삼성 KODEX 미국달러선물레버리지특별자산상장지수투자신탁(미국달러-파생형)	KODEX 미국달러선물레버리지	SAMSUNG KODEX USD Futures Leverage ETF	2016-12-27	미국달러선물지수	KRX	2X 레버리지 (2)	실물	국내	통화	3300000	삼성자산운용	10000	0.45	배당소득세(보유기간과세)
KR7261260004	261260	삼성 KODEX 미국달러선물인버스2X특별자산상장지수투자신탁(미국달러-파생형)	KODEX 미국달러선물인버스2X	SAMSUNG KODEX USD Futures Inverse2X ETF	2016-12-27	미국달러선물지수	KRX	2X 인버스 (-2)	실물	국내	통화	530000	삼성자산운용	10000	0.45	배당소득세(보유기간과세)
KR7261270003	261270	삼성 KODEX 미국달러선물인버스특별자산상장지수투자신탁(미국달러-파생형)	KODEX 미국달러선물인버스	SAMSUNG KODEX USD Futures Inverse ETF	2016-12-27	미국달러선물지수	KRX	1X 인버스 (-1)	실물	국내	통화	500000	삼성자산운용	10000	0.45	배당소득세(보유기간과세)
KR7261240006	261240	삼성 KODEX 미국달러선물특별자산상장지수투자신탁(미국달러-파생형)	KODEX 미국달러선물	SAMSUNG KODEX USD Futures ETF	2016-12-27	미국달러선물지수	KRX	일반 (1)	실물	국내	통화	6750000	삼성자산운용	10000	0.25	배당소득세(보유기간과세)
KR7280930009	280930	삼성 KODEX 미국러셀2000증권상장지수투자신탁[주식-파생형](H)	KODEX 미국러셀2000(H)	Samsung KODEX US Russell 2000 ETF(H)	2017-11-09	FTSE Russell 2000 Index	FTSE	일반 (1)	실물	해외	주식	3200000	삼성자산운용	50000	0.45	배당소득세(보유기간과세)
KR7218420008	218420	삼성 KODEX 미국에너지 증권상장지수투자신탁[주식-파생형](합성)	KODEX 미국S&P에너지(합성)	Samsung KODEX SYNTH-US Energy ETF	2015-04-28	S&P Select Sector Energy Index	S&P	일반 (1)	합성	해외	주식	3044000	삼성자산운용	1000	0.25	배당소득세(보유기간과세)
KR7308620004	308620	삼성 KODEX 미국채10년선물증권상장지수투자신탁[채권-파생형]	KODEX 미국채10년선물	Samsung KODEX T-note Futures ETF	2018-10-19	S&P 10-Year U.S. Treasury Note Futures KRW(ER)	S&P	일반 (1)	실물	해외	채권	1000000	삼성자산운용	100000	0.3	배당소득세(보유기간과세)
KR7304670003	304670	삼성 KODEX 미국채울트라30년선물인버스증권상장지수투자신탁[채권-파생형](H)	KODEX 미국채울트라30년선물인버스(H)	Samsung KODEX Ultra T-bond Futures Inverse(H) ETF	2018-09-12	S&P Ultra T-Bond Futures Index(ER)	S&P	1X 인버스 (-1)	실물	해외	채권	600000	삼성자산운용	100000	0.3	배당소득세(보유기간과세)
KR7304660004	304660	삼성 KODEX 미국채울트라30년선물증권상장지수투자신탁[채권-파생형](H)	KODEX 미국채울트라30년선물(H)	Samsung KODEX Ultra T-bond Futures(H) ETF	2018-09-12	S&P Ultra T-Bond Futures Index(ER)	S&P	일반 (1)	실물	해외	채권	1500000	삼성자산운용	100000	0.3	배당소득세(보유기간과세)
KR7266360007	266360	삼성 KODEX 미디어&엔터테인먼트증권상장지수투자신탁(주식)	KODEX 미디어&엔터테인먼트	Samsung KODEX Media & Entertainment ETF	2017-03-28	KRX 미디어&엔터테인먼트	KRX	일반 (1)	실물	국내	주식	2600000	삼성자산운용	100000	0.45	비과세
KR7244580007	244580	삼성 KODEX 바이오증권상장지수투자신탁[주식]	KODEX 바이오	Samsung KODEX BIO ETF	2016-05-13	FnGuide 바이오 지수	FnGuide	일반 (1)	실물	국내	주식	1680000	삼성자산운용	80000	0.45	비과세
KR7091160002	91160	삼성 KODEX 반도체 증권상장지수투자신탁[주식]	KODEX 반도체	SAMSUNG KODEX SEMICON ETF	2006-06-27	KRX 반도체	KRX	일반 (1)	실물	국내	주식	6800000	삼성자산운용	50000	0.45	비과세
KR7325020006	325020	삼성 KODEX 배당가치증권상장지수투자신탁[주식형]	KODEX 배당가치	SAMSUNG KODEX Dividend Value ETF	2019-05-31	FnGuide SLV 배당가치 지수	FnGuide	일반 (1)	실물	국내	주식	11300000	삼성자산운용	100000	0.3	비과세
KR7211900006	211900	삼성 KODEX 배당성장 증권상장지수투자신탁(주식)	KODEX 배당성장	Samsung KODEX Dividend Growth ETF	2014-12-17	코스피 배당성장 50	KRX	일반 (1)	실물	국내	주식	1650000	삼성자산운용	50000	0.15	비과세
KR7237370002	237370	삼성 KODEX 배당성장채권혼합 증권상장지수투자신탁(채권혼합)	KODEX 배당성장채권혼합	SAMSUNG KODEX GROWTH DIVIDEND BALANCED ETF	2016-01-27	배당성장채권혼합지수	KRX	일반 (1)	실물	국내	혼합자산	1800000	삼성자산운용	200000	0.19	배당소득세(보유기간과세)
KR7244670006	244670	삼성 KODEX 밸류PLUS증권상장지수투자신탁[주식]	KODEX 밸류Plus	Samsung KODEX Value PLUS ETF	2016-05-13	FnGuide 벨류 Plus 지수	FnGuide	일반 (1)	실물	국내	주식	1300000	삼성자산운용	100000	0.3	비과세
KR7102780004	102780	삼성 KODEX 삼성그룹주 증권상장지수투자신탁[주식]	KODEX 삼성그룹	SAMSUNG KODEX Samsung Group ETF	2008-05-21	삼성그룹	FnGuide	일반 (1)	실물	국내	주식	197900000	삼성자산운용	100000	0.25	비과세
KR7256750001	256750	삼성 KODEX 심천ChiNext증권상장지수투자신탁[주식-파생형](합성)	KODEX 심천ChiNext(합성)	SAMSUNG KODEX ChiNext ETF(Synth)	2016-11-08	SZSE ChiNext Price Index	SSI(Shenzhen Securities Information Co Ltd)	일반 (1)	합성	해외	주식	5500000	삼성자산운용	100000	0.47	배당소득세(보유기간과세)
KR7144600004	144600	삼성 KODEX 은선물특별자산상장지수투자신탁(은-파생형)(H)	KODEX 은선물(H)	SAMSUNG KODEX SILVER FUTURES SPECIAL ASSET ETF	2011-07-18	S&P GSCI Silver Index(TR)	S&P	일반 (1)	실물	해외	원자재	20900000	삼성자산운용	100000	0.68	배당소득세(보유기간과세)
KR7091170001	91170	삼성 KODEX 은행 증권상장지수투자신탁[주식]	KODEX 은행	SAMSUNG KODEX BANKs ETF	2006-06-27	KRX 은행	KRX	일반 (1)	실물	국내	주식	29700000	삼성자산운용	50000	0.45	비과세
KR7091180000	91180	삼성 KODEX 자동차 증권상장지수투자신탁[주식]	KODEX 자동차	SAMSUNG KODEX AUTOs ETF	2006-06-27	KRX 자동차	KRX	일반 (1)	실물	국내	주식	21400000	삼성자산운용	50000	0.45	비과세
KR7363570003	363570	삼성 KODEX 장기종합채권(AA-이상)액티브KAP증권상장지수투자신탁[채권]	KODEX 장기종합채권(AA-이상)액티브KAP	SAMSUNG KODEX Active KAP Long Term Korea Total Bond Market(AA-) ETF	2020-09-25	KAP 한국장기종합채권지수(AA-이상, 총수익)	한국자산평가(KAP)	일반 (1)	Active	국내	채권	327000	삼성자산운용	1000	0.07	배당소득세(보유기간과세)
KR7273130005	273130	삼성 KODEX 종합채권(AA-이상)액티브증권상장지수투자신탁[채권]	KODEX 종합채권(AA-이상)액티브	Samsung KODEX Active Korea Total Bond Market(AA-) ETF	2017-06-29	KAP 한국종합채권지수	한국자산평가(KAP)	일반 (1)	Active	국내	채권	12911000	삼성자산운용	1000	0.07	배당소득세(보유기간과세)
KR7169950003	169950	삼성 KODEX 중국본토 FTSE China A50 증권상장지수자투자신탁[주식-파생형]	KODEX 중국본토 A50	SAMSUNG KODEX FTSE China A50 ETF	2013-01-21	FTSE China A50 Index	FTSE	일반 (1)	실물	해외	주식	1600000	삼성자산운용	100000	0.99	배당소득세(해외주식투자전용ETF)
KR7283580009	283580	삼성 KODEX 중국본토CSI300증권상장지수투자신탁[주식-파생형]	KODEX 중국본토CSI300	Samsung KODEX China CSI300 ETF	2017-12-13	CSI 300 Index	CSI	일반 (1)	실물	해외	주식	8200000	삼성자산운용	200000	0.55	배당소득세(해외주식투자전용ETF)
KR7102970001	102970	삼성 KODEX 증권주 증권상장지수투자신탁[주식]	KODEX 증권	SAMSUNG KODEX Securities ETF	2008-05-29	KRX 증권	KRX	일반 (1)	실물	국내	주식	7050000	삼성자산운용	50000	0.45	비과세
KR7372330001	372330	삼성 KODEX 차이나항셍테크증권상장지수투자신탁[주식]	KODEX 차이나항셍테크	SAMSUNG KODEX China Hang Seng TECH ETF	2020-12-16	Hang Seng TECH Index	HangSeng	일반 (1)	실물	해외	주식	11500000	삼성자산운용	50000	0.18	배당소득세(보유기간과세)
KR7279540009	279540	삼성 KODEX 최소변동성증권상장지수투자신탁[주식]	KODEX 최소변동성	Samsung KODEX Min Vol ETF	2017-10-17	KRX 최소변동성지수	KRX	일반 (1)	실물	국내	주식	1200000	삼성자산운용	100000	0.3	비과세
KR7229200001	229200	삼성 KODEX 코스닥 150 증권상장지수투자신탁(주식)	KODEX 코스닥 150	SAMSUNG KODEX KOSDAQ 150 ETF	2015-10-01	코스닥 150	KRX	일반 (1)	실물	국내	주식	30650000	삼성자산운용	50000	0.25	비과세
KR7233740000	233740	삼성 KODEX 코스닥150 레버리지증권상장지수투자신탁(주식-파생형)	KODEX 코스닥150 레버리지	SAMSUNG KODEX KOSDAQ150 LEVERAGE ETF	2015-12-17	코스닥 150	KRX	2X 레버리지 (2)	실물	국내	주식	74200000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7360150007	360150	삼성 KODEX 코스닥150롱코스피200숏선물증권상장지수투자신탁[주식-파생형]	KODEX 코스닥150롱코스피200숏선물	SAMSUNG KODEX KOSDAQ150LONGKOSPI200SHORT Futures ETF	2020-08-21	코스닥150 롱 100% 코스피200 숏 100% 선물지수	KRX	일반 (1)	실물	국내	주식	1500000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7251340006	251340	삼성 KODEX 코스닥150인버스증권상장지수투자신탁(주식-파생형)	KODEX 코스닥150선물인버스	SAMSUNG KODEX KOSDAQ150 INVERSE ETF	2016-08-10	F-코스닥150 지수	KRX	1X 인버스 (-1)	실물	국내	주식	92800000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7226490001	226490	삼성 KODEX 코스피 증권상장지수투자신탁(신탁)	KODEX 코스피	Samsung KODEX KOSPI ETF	2015-08-24	코스피	KRX	일반 (1)	실물	국내	주식	11500000	삼성자산운용	100000	0.15	비과세
KR7359210002	359210	삼성 KODEX 코스피TotalReturn증권상장지수투자신탁[주식]	KODEX 코스피TR	SAMSUNG KODEX KOSPI TotalReturn ETF	2020-07-21	코스피 TR	KRX	일반 (1)	실물	국내	주식	2600000	삼성자산운용	200000	0.07	배당소득세(보유기간과세)
KR7337140008	337140	삼성 KODEX 코스피대형주증권상장지수투자신탁[주식]	KODEX 코스피대형주	SAMSUNG KODEX KOSPI LargeCap ETF	2019-11-14	코스피 대형주	KRX	일반 (1)	실물	국내	주식	3400000	삼성자산운용	100000	0.15	비과세
KR7138920004	138920	삼성 KODEX 콩선물특별자산상장지수투자신탁(콩-파생형)(H)	KODEX 콩선물(H)	SAMSUNG KODEX SOYBEANS FUTURES SPECIAL ASSET ETF	2011-03-15	S&P GSCI Soybeans Index(TR)	S&P	일반 (1)	실물	해외	원자재	700000	삼성자산운용	100000	0.68	배당소득세(보유기간과세)
KR7244660007	244660	삼성 KODEX 퀄리티PLUS증권상장지수투자신탁[주식]	KODEX 퀄리티Plus	Samsung KODEX Quality PLUS ETF	2016-05-13	FnGuide 퀄리티 Plus 지수	FnGuide	일반 (1)	실물	국내	주식	1100000	삼성자산운용	100000	0.3	비과세
KR7375770005	375770	삼성 KODEX 탄소효율그린뉴딜증권상장지수투자신탁[주식]	KODEX 탄소효율그린뉴딜	SAMSUNG KODEX Carbon Efficient Green New Deal ETF	2021-02-05	KRX/S&P 탄소효율 그린뉴딜지수	KRX	일반 (1)	실물	국내	주식	5000000	삼성자산운용	100000	0.09	비과세
KR7266410000	266410	삼성 KODEX 필수소비재증권상장지수투자신탁[주식형]	KODEX 필수소비재	Samsung KODEX Consumer Staples ETF	2017-03-28	KRX 필수소비재	KRX	일반 (1)	실물	국내	주식	2800000	삼성자산운용	200000	0.45	비과세
KR7298770009	298770	삼성 KODEX 한국대만IT프리미어증권상장지수투자신탁[주식-파생형]	KODEX 한국대만IT프리미어	Samsung KODEX Korea Taiwan IT Premier ETF	2018-06-11	한국 대만 IT 프리미어지수	S&P	일반 (1)	실물	국내&해외	주식	7200000	삼성자산운용	100000	0.55	배당소득세(보유기간과세)
KR7266420009	266420	삼성 KODEX 헬스케어증권상장지수투자신탁[주식형]	KODEX 헬스케어	Samsung KODEX Healthcare ETF	2017-03-28	KRX 헬스케어	KRX	일반 (1)	실물	국내	주식	1500000	삼성자산운용	100000	0.45	비과세
KR7364690008	364690	삼성 KODEX 혁신기술테마액티브증권상장지수투자신탁[주식]	KODEX 혁신기술테마액티브	SAMSUNG KODEX Innovative Tech Active ETF	2020-09-29	코스피	KRX	일반 (1)	Active	국내	주식	900000	삼성자산운용	100000	0.3	배당소득세(보유기간과세)
KR7069500007	69500	삼성 KODEX200 증권상장지수투자신탁[주식]	KODEX 200	SAMSUNG KODEX200 ETF	2002-10-14	코스피 200	KRX	일반 (1)	실물	국내	주식	106350000	삼성자산운용	50000	0.15	비과세
KR7284430006	284430	삼성 KODEX200미국채혼합증권상장지수투자신탁[채권혼합-파생형]	KODEX 200미국채혼합	Samsung KODEX 200 US Treasury notes Balanced ETF	2017-11-30	코스피 200 미국채 혼합지수	KRX	일반 (1)	실물	국내&해외	혼합자산	1120000	삼성자산운용	80000	0.35	배당소득세(보유기간과세)
KR7321410003	321410	삼성 KODEX모닝스타멀티에셋하이인컴증권상장지수투자신탁[채권혼합-파생재간접형](H)	KODEX 멀티에셋하이인컴(H)	Samsung KODEX Morningstar Multi-Asset High Income ETF(H)	2019-06-05	Morningstar Multi-Asset High Income 10% Capped Index	MorningStar	일반 (1)	실물	해외	혼합자산	500000	삼성자산운용	100000	0.25	배당소득세(보유기간과세)
KR7219480001	219480	삼성KODEX S&P500선물증권상장지수투자신탁[주식-파생형](H)	KODEX 미국S&P500선물(H)	SAMSUNG KODEX S&P500 Futures ETF(H)	2015-05-29	S&P 500 Futures Total Return Index	S&P	일반 (1)	실물	해외	주식	6650000	삼성자산운용	50000	0.25	배당소득세(보유기간과세)
KR7176950004	176950	삼성KODEX10년국채선물인버스증권상장지수투자신탁[채권-파생형]	KODEX 국채선물10년인버스	SAMSUNG KODEX 10Y F-LKTB INVERSE ETF	2013-05-31	10년국채선물지수	KRX	1X 인버스 (-1)	실물	국내	채권	5142000	삼성자산운용	6000	0.07	배당소득세(보유기간과세)
KR7152380002	152380	삼성KODEX10년국채선물증권상장지수투자신탁[채권-파생형]	KODEX 국채선물10년	SAMSUNG KODEX 10Y F-LKTB ETF	2012-01-20	10년국채선물지수	KRX	일반 (1)	실물	국내	채권	282000	삼성자산운용	6000	0.25	배당소득세(보유기간과세)
KR7117700005	117700	삼성KODEX건설증권상장지수투자신탁[주식]	KODEX 건설	SAMSUNG KODEX Constructions ETF[EQUITY]	2009-10-30	KRX 건설	KRX	일반 (1)	실물	국내	주식	22700000	삼성자산운용	100000	0.45	비과세
KR7214980005	214980	삼성KODEX단기채권PLUS증권상장지수투자신탁[채권]	KODEX 단기채권PLUS	SAMSUNG KODEX KRW CASH PLUS ETF	2015-03-03	KRW Cash PLUS 지수(총수익)	한국자산평가(KAP)	일반 (1)	실물	국내	채권	17949000	삼성자산운용	1000	0.15	배당소득세(보유기간과세)
KR7153130000	153130	삼성KODEX단기채권증권상장지수투자신탁[채권]	KODEX 단기채권	SAMSUNG KODEX KRW CASH ETF	2012-02-22	KRW Cash 지수(총수익)	FnGuide	일반 (1)	실물	국내	채권	23988000	삼성자산운용	1000	0.15	배당소득세(보유기간과세)
KR7122630007	122630	삼성KODEX레버리지증권상장지수투자신탁[주식-파생형]	KODEX 레버리지	SAMSUNG KODEX LEVERAGE ETF[EQUITY-DERIVATIVES]	2010-02-22	코스피 200	KRX	2X 레버리지 (2)	실물	국내	주식	53200000	삼성자산운용	200000	0.64	배당소득세(보유기간과세)
KR7185680006	185680	삼성KODEX미국바이오테크증권상장지수투자신탁[주식-파생형](합성)	KODEX 미국S&P바이오(합성)	Samsung KODEX SYNTH-US Biotech ETF	2013-10-31	S&P Biotechnology Select Industry Index	S&P	일반 (1)	합성	해외	주식	265000	삼성자산운용	1000	0.25	배당소득세(보유기간과세)
KR7200030005	200030	삼성KODEX미국산업재증권상장지수투자신탁[주식-파생형](합성)	KODEX 미국S&P산업재(합성)	Samsung KODEX SYNTH-US Industrial ETF	2014-06-12	S&P Select Sector Industrial Index	S&P	일반 (1)	합성	해외	주식	534000	삼성자산운용	1000	0.25	배당소득세(보유기간과세)
KR7140700006	140700	삼성KODEX보험증권상장지수투자신탁[주식]	KODEX 보험	SAMSUNG KODEX INSURANCE ETF[EQUITY]	2011-04-26	KRX 보험	KRX	일반 (1)	실물	국내	주식	2300000	삼성자산운용	100000	0.45	비과세
KR7213610009	213610	삼성KODEX삼성그룹밸류증권상장지수투자신탁[주식]	KODEX 삼성그룹밸류	SAMSUNG KODEX SAMSUNG Group Value ETF	2015-01-08	WISE 삼성그룹 밸류 인덱스	WiseFn	일반 (1)	실물	국내	주식	1300000	삼성자산운용	100000	0.15	비과세
KR7117460006	117460	삼성KODEX에너지화학증권상장지수투자신탁[주식]	KODEX 에너지화학	SAMSUNG KODEX ENERGY&CHEMICALS ETF[EQUITY]	2009-10-12	KRX 에너지화학	KRX	일반 (1)	실물	국내	주식	1470000	삼성자산운용	70000	0.45	비과세
KR7140710005	140710	삼성KODEX운송증권상장지수투자신탁[주식]	KODEX 운송	SAMSUNG KODEX TRANSPORTATION ETF[EQUITY]	2011-04-26	KRX 운송	KRX	일반 (1)	실물	국내	주식	3600000	삼성자산운용	100000	0.45	비과세
KR7114800006	114800	삼성KODEX인버스증권상장지수투자신탁[주식-파생형]	KODEX 인버스	SAMSUNG KODEX INVERSE ETF	2009-09-16	코스피 200 선물지수	KRX	1X 인버스 (-1)	실물	국내	주식	321200000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7117680009	117680	삼성KODEX철강증권상장지수투자신탁[주식]	KODEX 철강	SAMSUNG KODEX STEELS ETF[EQUITY]	2009-10-30	KRX 철강	KRX	일반 (1)	실물	국내	주식	4480000	삼성자산운용	70000	0.45	비과세
KR7295040000	295040	신한 SMART 200 Total Return증권상장지수투자신탁[주식]	SMART 200TR	Shinhan SMART 200 Total Return ETF	2018-04-23	코스피 200 TR	KRX	일반 (1)	실물	국내	주식	30750000	신한자산운용	150000	0.05	배당소득세(보유기간과세)
KR7363510009	363510	신한 SMART KIS단기통안채증권상장지수투자신탁[채권]	SMART KIS단기통안채	Shinhan SMART KIS Short-term MSB ETF	2020-09-09	KIS 단기통안채 Index(총수익)	KIS 채권평가	일반 (1)	실물	국내	채권	668000	신한자산운용	1000	0.13	배당소득세(보유기간과세)
KR7292500006	292500	신한 SMART KRX300증권상장지수투자신탁[주식]	SMART KRX300	Shinhan SMART KRX300 ETF	2018-03-26	KRX 300	KRX	일반 (1)	실물	국내	주식	1500000	신한자산운용	100000	0.05	비과세
KR7208470005	208470	신한 SMART MSCI선진국증권상장지수투자신탁(주식-파생형)(합성 H)	SMART 선진국MSCI World(합성 H)	Shinhan SMART SYNTH-MSCI Developed Market ETF(Equity-Derivative)(H)	2014-11-24	MSCI World	MSCI	일반 (1)	합성	해외	주식	600000	신한자산운용	100000	0.35	배당소득세(보유기간과세)
KR7220130009	220130	신한 SMART 중국본토중소형CSI500증권상장지수투자신탁(주식-파생형)(합성 H)	SMART 중국본토 중소형 CSI500(합성 H)	Shinhan SMART Synth-China Mainland Small & Mid Cap CSI500 ETF(H)	2015-06-08	CSI 500 지수	CSI	일반 (1)	합성	해외	주식	900000	신한자산운용	100000	0.6	배당소득세(보유기간과세)
KR7108590001	108590	유리 TREX200 증권상장지수투자신탁[주식]	TREX 200	YURIE TREX 200 ETF[Equity]	2009-01-23	코스피 200	KRX	일반 (1)	실물	국내	주식	300000	유리에셋	50000	0.325	비과세
KR7145850004	145850	유리 TREX펀더멘탈200 증권상장지수투자신탁[주식]	TREX 펀더멘탈 200	Yurie TREX Fundamental 200 ETF	2011-09-23	FnGuide-RAFI 코리아200 지수	FnGuide	일반 (1)	실물	국내	주식	250000	유리에셋	50000	0.34	비과세
KR7153270004	153270	키움 KOSEF 100 증권상장지수투자신탁(주식)	KOSEF 코스피100	Kiwoom KOSEF 100 ETF	2012-02-28	코스피 100	KRX	일반 (1)	실물	국내	주식	380000	키움투자자산운용	20000	0.195	비과세
KR7167860006	167860	키움 KOSEF 10년 국고채 레버리지 증권상장지수투자신탁[채권-파생형]	KOSEF 국고채10년레버리지	Kiwoom KOSEF 10Y KTB Leverage ETF	2012-10-30	KIS 10년 국고채 지수 (총수익)	KIS 채권평가	2X 레버리지 (2)	실물	국내	채권	70000	키움투자자산운용	10000	0.3	배당소득세(보유기간과세)
KR7148070006	148070	키움 KOSEF 10년 국고채 증권상장지수투자신탁[채권]	KOSEF 국고채10년	Kiwoom KOSEF 10Y KTB ETF	2011-10-20	KIS 10년 국고채 지수 (총수익)	KIS 채권평가	일반 (1)	실물	국내	채권	1460000	키움투자자산운용	10000	0.15	배당소득세(보유기간과세)
KR7294400007	294400	키움 KOSEF 200 Total Return증권상장지수투자신탁[주식]	KOSEF 200TR	Kiwoom KOSEF 200 Total Return ETF	2018-04-23	코스피 200 TR	KRX	일반 (1)	실물	국내	주식	9650000	키움투자자산운용	50000	0.012	배당소득세(보유기간과세)
KR7069660009	69660	키움 KOSEF 200 상장지수증권투자신탁[주식]	KOSEF 200	Kiwoom KOSEF 200 ETF	2002-10-14	코스피 200	KRX	일반 (1)	실물	국내	주식	12400000	키움투자자산운용	50000	0.13	비과세
KR7253250005	253250	키움 KOSEF 200선물레버리지증권상장지수투자신탁(주식-파생형)	KOSEF 200선물레버리지	Kiwoom KOSEF 200 Futures Leverage ETF	2016-09-12	코스피 200 선물지수	KRX	2X 레버리지 (2)	실물	국내	주식	1060000	키움투자자산운용	10000	0.46	배당소득세(보유기간과세)
KR7253230007	253230	키움 KOSEF 200선물인버스2X증권상장지수투자신탁(주식-파생형)	KOSEF 200선물인버스2X	KIWOOM KOSEF 200 Futures Inverse 2X ETF	2016-09-22	코스피 200 선물지수	KRX	2X 인버스 (-2)	실물	국내	주식	4720000	키움투자자산운용	10000	0.46	배당소득세(보유기간과세)
KR7253240006	253240	키움 KOSEF 200선물인버스증권상장지수투자신탁(주식-파생형)	KOSEF 200선물인버스	Kiwoom KOSEF 200 Futures Inverse	2016-09-12	코스피 200 선물지수	KRX	1X 인버스 (-1)	실물	국내	주식	820000	키움투자자산운용	10000	0.46	배당소득세(보유기간과세)
KR7331910000	331910	키움 KOSEF Fn중소형증권상장지수투자신탁[주식]	KOSEF Fn중소형	Kiwoom KOSEF Fn Mid Small Cap ETF	2019-08-13	FnGuide-키움 스마트 중소형주 지수	FnGuide	일반 (1)	실물	국내	주식	860000	키움투자자산운용	20000	0.3	비과세
KR7100910009	100910	키움 KOSEF KRX100 상장지수증권투자신탁[주식]	KOSEF KRX100	Kiwoom KOSEF KRX100 ETF	2008-01-23	KRX 100	KRX	일반 (1)	실물	국내	주식	1800000	키움투자자산운용	300000	0.23	비과세
KR7200250009	200250	키움 KOSEF NIFTY50인디아증권상장지수투자신탁[주식-파생형](합성)	KOSEF 인도Nifty50(합성)	KOSEF SYNTH-INDIA ETF	2014-06-26	Nifty 50 Index	IISL(India Index Services and Products Ltd)	일반 (1)	합성	해외	주식	1850000	키움투자자산운용	50000	0.49	배당소득세(보유기간과세)
KR7104530001	104530	키움 KOSEF 고배당 상장지수증권투자신탁[주식]	KOSEF 고배당	Kiwoom KOSEF HIGH DIVIDEND ETF	2008-07-29	MKF 웰스 고배당20	FnGuide	일반 (1)	실물	국내	주식	900000	키움투자자산운용	50000	0.4	비과세
KR7114470008	114470	키움 KOSEF 국고채 상장지수증권투자신탁[채권]	KOSEF 국고채3년	Kiwoom KOSEF KTB ETF[Fixed Income]	2009-07-31	KTB INDEX(시장가격)	KRX	일반 (1)	실물	국내	채권	300000	키움투자자산운용	30000	0.15	배당소득세(보유기간과세)
KR7130730005	130730	키움 KOSEF 단기자금 증권상장지수투자신탁[채권]	KOSEF 단기자금	Kiwoom KOSEF Enhanced Cash ETF[Fixed Income]	2010-07-29	MK 머니마켓 지수(총수익)	KIS 채권평가	일반 (1)	실물	국내	채권	484000	키움투자자산운용	1000	0.15	배당소득세(보유기간과세)
KR7139660005	139660	키움 KOSEF 미국달러선물 인버스 특별자산상장지수투자신탁[미국달러-파생형]	KOSEF 미국달러선물인버스	Kiwoom KOSEF USD Inverse Futures ETF	2011-04-01	미국달러선물지수	KRX	1X 인버스 (-1)	실물	국내	통화	1110000	키움투자자산운용	10000	0.49	배당소득세(보유기간과세)
KR7138230008	138230	키움 KOSEF 미국달러선물 특별자산상장지수투자신탁[미국달러-파생형]	KOSEF 미국달러선물	Kiwoom KOSEF USD Futures ETF	2011-02-24	미국달러선물지수	KRX	일반 (1)	실물	국내	통화	2540000	키움투자자산운용	10000	0.37	배당소득세(보유기간과세)
KR7225800002	225800	키움 KOSEF 미국달러선물레버리지 특별자산상장지수투자신탁[미국달러-파생형]	KOSEF 미국달러선물레버리지	Kiwoom KOSEF USD Futures Leverage ETF	2015-08-10	미국달러선물지수	KRX	2X 레버리지 (2)	실물	국내	통화	2290000	키움투자자산운용	10000	0.64	배당소득세(보유기간과세)
KR7230480006	230480	키움 KOSEF 미국달러선물인버스2X특별자산상장지수투자신탁(미국달러-파생형)	KOSEF 미국달러선물인버스2X	Kiwoom KOSEF USD Futures Inverse 2X ETF	2015-11-16	미국달러선물지수	KRX	2X 인버스 (-2)	실물	국내	통화	2110000	키움투자자산운용	10000	0.64	배당소득세(보유기간과세)
