,분류,종목,추천일,목표일,매수저점,매수고점,목표가,손절가
82,목표,호텔신라우,2021-06-25,2021-10-19,83000,92100,105000,76200
83,종료,이퓨쳐,2021-04-23,2021-08-16,9830,10900,"12,400","9,020"
84,종료,풍강,2021-05-27,2021-09-15,4395,4870,"5,550","4,035"
85,목표,유니온커뮤니티,2021-07-02,2021-10-27,4525,5010,5720,4150
86,종료,휴네시온,2021-04-16,2021-08-09,5890,6530,"7,450","5,410"
87,목표,DSR,2021-07-09,2021-11-02,5960,6600,7530,5470
88,목표,포메탈,2021-07-09,2021-11-03,4560,5060,5770,4185
89,목표,포메탈,2021-07-09,2021-11-03,4560,5060,5770,4185
90,종료,성우테크론,2021-06-25,2021-10-19,5940,6580,"7,510","5,450"
91,목표,삼영에스앤씨,2021-07-16,2021-11-09,12750,14100,16100,11700
92,종료,포메탈,2021-07-09,2021-11-03,4560,5060,"5,770","4,185"
93,목표,DSR제강,2021-07-23,2021-11-17,5740,6360,7260,5270
94,목표,삼영에스앤씨,2021-07-23,2021-11-17,14050,15550,17750,12900
95,목표,DSR제강,2021-07-23,2021-11-17,5740,6360,7260,5270
96,목표,삼영에스앤씨,2021-07-23,2021-11-17,14050,15550,17750,12900
97,종료,진양산업,2021-06-03,2021-10-11,5270,5840,"6,660","4,835"
98,종료,삼영에스앤씨,2021-07-23,2021-11-17,14050,15550,"17,750","12,900"
