AllTimePriceId	code	startval	highval	lowval	curval	curvol	Regdate
60274	001810	2330	2370	2325	2350	57344	2020-12-08 10:04:25.533
61066	001810	2330	2370	2325	2350	57344	2020-12-08 10:05:14.733
61859	001810	2330	2370	2325	2350	57409	2020-12-08 10:06:19.070
62652	001810	2330	2370	2325	2350	57409	2020-12-08 10:07:25.553
63437	001810	2330	2370	2325	2350	57409	2020-12-08 10:08:34.563
64236	001810	2330	2370	2325	2350	57509	2020-12-08 10:09:39.570
65017	001810	2330	2370	2325	2350	57699	2020-12-08 10:10:46.570
65818	001810	2330	2370	2325	2350	57899	2020-12-08 10:11:56.520
66616	001810	2330	2370	2325	2350	57899	2020-12-08 10:13:02.477
67386	001810	2330	2370	2325	2350	57899	2020-12-08 10:14:12.227
68192	001810	2330	2370	2325	2350	58099	2020-12-08 10:15:27.793
68989	001810	2330	2370	2325	2335	58820	2020-12-08 10:16:35.683
69780	001810	2330	2370	2325	2350	58830	2020-12-08 10:17:38.527
70567	001810	2330	2370	2325	2350	59470	2020-12-08 10:18:41.667
71364	001810	2330	2370	2325	2330	61070	2020-12-08 10:19:45.857
72152	001810	2330	2370	2325	2330	61070	2020-12-08 10:20:33.923
72945	001810	2330	2370	2325	2350	61380	2020-12-08 10:21:19.907
73738	001810	2330	2370	2325	2350	61380	2020-12-08 10:22:06.873
74531	001810	2330	2370	2325	2350	61380	2020-12-08 10:22:54.233
75327	001810	2330	2370	2325	2350	61380	2020-12-08 10:23:41.710
76111	001810	2330	2370	2325	2350	61380	2020-12-08 10:24:31.517
76896	001810	2330	2370	2325	2350	61680	2020-12-08 10:25:19.860
77700	001810	2330	2370	2325	2350	61680	2020-12-08 10:26:06.080
78488	001810	2330	2370	2325	2350	61680	2020-12-08 10:26:53.003
79272	001810	2330	2370	2325	2350	61680	2020-12-08 10:27:39.970
80079	001810	2330	2370	2325	2350	61680	2020-12-08 10:28:27.987
80861	001810	2330	2370	2325	2340	62418	2020-12-08 10:29:12.957
81646	001810	2330	2370	2325	2340	62418	2020-12-08 10:29:58.847
82450	001810	2330	2370	2325	2350	63768	2020-12-08 10:30:49.067
83235	001810	2330	2370	2325	2350	63768	2020-12-08 10:31:35.443
84029	001810	2330	2370	2325	2350	63768	2020-12-08 10:32:21.270
84829	001810	2330	2370	2325	2350	63768	2020-12-08 10:33:11.583
85619	001810	2330	2370	2325	2350	63768	2020-12-08 10:34:00.600
86407	001810	2330	2370	2325	2350	63768	2020-12-08 10:34:48.570
87209	001810	2330	2370	2325	2350	63768	2020-12-08 10:35:37.630
87996	001810	2330	2370	2325	2350	64068	2020-12-08 10:36:28.697
88779	001810	2330	2370	2325	2350	64068	2020-12-08 10:37:17.690
89575	001810	2330	2370	2325	2350	64068	2020-12-08 10:38:06.800
90374	001810	2330	2370	2325	2350	64068	2020-12-08 10:38:57.187
91151	001810	2330	2370	2325	2350	64068	2020-12-08 10:39:48.440
91951	001810	2330	2370	2325	2350	64068	2020-12-08 10:40:40.223
92747	001810	2330	2370	2325	2340	64433	2020-12-08 10:41:33.457
93537	001810	2330	2370	2325	2350	64448	2020-12-08 10:42:23.783
94333	001810	2330	2370	2325	2350	64448	2020-12-08 10:43:13.393
95113	001810	2330	2370	2325	2350	64448	2020-12-08 10:44:01.393
95907	001810	2330	2370	2325	2350	64448	2020-12-08 10:44:51.723
96704	001810	2330	2370	2325	2350	64448	2020-12-08 10:45:40.880
97505	001810	2330	2370	2325	2350	64448	2020-12-08 10:46:29.973
98295	001810	2330	2370	2325	2335	65211	2020-12-08 10:47:17.760
99089	001810	2330	2370	2325	2350	65217	2020-12-08 10:48:06.750
99878	001810	2330	2370	2325	2350	65217	2020-12-08 10:49:03.810
100666	001810	2330	2370	2325	2350	65217	2020-12-08 10:50:01.230
101455	001810	2330	2370	2325	2350	65217	2020-12-08 10:51:01.323
102245	001810	2330	2370	2325	2350	65217	2020-12-08 10:52:06.120
103041	001810	2330	2370	2325	2345	65257	2020-12-08 10:53:08.373
103831	001810	2330	2370	2325	2345	65257	2020-12-08 10:54:08.733
104618	001810	2330	2370	2325	2345	65457	2020-12-08 10:55:26.217
105413	001810	2330	2370	2325	2345	65457	2020-12-08 10:57:08.537
106210	001810	2330	2370	2325	2345	65457	2020-12-08 10:58:31.900
107007	001810	2330	2370	2325	2345	65457	2020-12-08 10:59:19.533
107789	001810	2330	2370	2325	2345	65457	2020-12-08 11:00:03.240
108581	001810	2330	2370	2325	2345	65457	2020-12-08 11:00:54.823
109367	001810	2330	2370	2325	2345	65457	2020-12-08 11:01:42.623
110167	001810	2330	2370	2325	2345	65457	2020-12-08 11:02:31.933
110959	001810	2330	2370	2325	2345	65457	2020-12-08 11:03:31.153
111743	001810	2330	2370	2325	2340	65469	2020-12-08 11:04:29.420
112539	001810	2330	2370	2325	2340	65545	2020-12-08 11:05:15.637
113330	001810	2330	2370	2325	2340	65795	2020-12-08 11:06:07.670
114130	001810	2330	2370	2325	2330	66352	2020-12-08 11:06:55.990
114922	001810	2330	2370	2325	2330	66352	2020-12-08 11:07:43.743
115708	001810	2330	2370	2325	2330	66352	2020-12-08 11:08:30.383
116506	001810	2330	2370	2325	2340	67638	2020-12-08 11:09:16.007
117303	001810	2330	2370	2325	2335	67683	2020-12-08 11:10:02.060
118088	001810	2330	2370	2325	2335	67683	2020-12-08 11:10:51.370
118881	001810	2330	2370	2325	2335	67683	2020-12-08 11:11:38.447
119679	001810	2330	2370	2325	2335	67683	2020-12-08 11:12:25.930
120477	001810	2330	2370	2325	2335	67731	2020-12-08 11:13:12.150
121257	001810	2330	2370	2325	2335	67731	2020-12-08 11:13:58.643
122049	001810	2330	2370	2325	2335	67731	2020-12-08 11:14:47.870
122844	001810	2330	2370	2325	2335	67731	2020-12-08 11:15:36.960
123638	001810	2330	2370	2325	2335	67731	2020-12-08 11:16:25.853
124426	001810	2330	2370	2325	2330	71242	2020-12-08 11:17:12.553
125221	001810	2330	2370	2325	2340	71352	2020-12-08 11:18:00.377
126010	001810	2330	2370	2325	2340	71352	2020-12-08 11:18:49.117
126803	001810	2330	2370	2325	2340	71352	2020-12-08 11:19:35.617
127595	001810	2330	2370	2325	2340	71352	2020-12-08 11:20:21.013
128379	001810	2330	2370	2325	2340	71589	2020-12-08 11:21:09.000
129173	001810	2330	2370	2325	2340	71589	2020-12-08 11:21:55.060
129965	001810	2330	2370	2325	2340	74519	2020-12-08 11:22:44.407
130757	001810	2330	2370	2325	2340	74519	2020-12-08 11:23:30.813
131556	001810	2330	2370	2325	2340	74519	2020-12-08 11:24:16.280
132352	001810	2330	2370	2325	2340	74519	2020-12-08 11:25:04.593
133131	001810	2330	2370	2325	2340	74519	2020-12-08 11:25:50.560
133915	001810	2330	2370	2325	2340	74519	2020-12-08 11:26:39.813
